MCMC	Heritability
1739	0.721264
1740	0.922414
1741	0.836207
1742	0.936782
1743	0.873563
1744	0.922414
1745	0.813218
1746	0.853448
1747	0.956897
1748	0.925287
1749	0.971264
1750	0.974138
1751	0.954023
1752	0.962644
1753	0.931034
1754	0.942529
1755	0.965517
1756	0.933908
1757	0.882184
1758	0.890805
1759	0.931034
1760	0.695402
1761	0.974138
1762	0.982759
1763	0.885057
1764	0.954023
1765	0.798851
1766	0.893678
1767	0.87069
1768	0.899425
1769	0.925287
1770	0.83908
1771	0.732759
1772	0.850575
1773	0.988506
1774	0.968391
1775	0.971264
1776	0.856322
1777	0.962644
1778	0.810345
1779	0.95977
1780	0.770115
1781	0.974138
1782	0.971264
1783	0.982759
1784	0.87931
1785	0.827586
1786	0.977011
1787	0.948276
1788	0.954023
1789	0.913793
1790	0.807471
1791	0.985632
1792	0.741379
1793	0.678161
1794	0.965517
1795	0.876437
1796	0.985632
1797	0.755747
1798	0.968391
1799	0.95977
1800	0.95977
1801	0.951149
1802	0.75
1803	0.818966
1804	0.977011
1805	0.925287
1806	0.977011
1807	0.945402
1808	0.965517
1809	0.807471
1810	0.850575
1811	0.951149
1812	0.798851
1813	0.850575
1814	0.735632
1815	0.948276
1816	0.954023
1817	0.951149
1818	0.706897
1819	0.939655
1820	1
1821	0.663793
1822	0.649425
1823	0.977011
1824	0.977011
1825	1
1826	0.925287
1827	0.931034
1828	0.908046
1829	0.942529
1830	0.982759
1831	0.948276
1832	0.948276
1833	0.965517
1834	0.913793
1835	0.931034
1836	0.902299
1837	0.977011
1838	0.91954
1839	0.882184
1840	0.971264
1841	0.882184
1842	0.942529
1843	0.87931
1844	0.971264
1845	0.850575
1846	0.91092
1847	0.951149
1848	0.844828
1849	0.902299
1850	0.908046
1851	0.971264
1852	0.681034
1853	0.916667
1854	0.856322
1855	0.887931
1856	0.968391
1857	0.856322
1858	0.968391
1859	0.91954
1860	0.928161
1861	0.606322
1862	0.856322
1863	0.988506
1864	0.784483
1865	0.948276
1866	0.968391
1867	0.965517
1868	0.908046
1869	0.727011
1870	0.79023
1871	0.913793
1872	0.853448
1873	0.939655
1874	0.997126
1875	0.658046
1876	0.962644
1877	0.939655
1878	0.962644
