name	term	lev	seq	value
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.16223.m1	0
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.7119.m1	0.425786892
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.16215.m1	0
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.28953.m1	0.461171372
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.24774.m1	0
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.27989.m1	0
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.4855.m1	0
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.18366.m1	2.083206992
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	GO:0016616;GO:0016614	4	aten_0.1.m1.1977.m1	0
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	GO:0016616;GO:0016614	4	aten_0.1.m1.16091.m1	0
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	GO:0016616;GO:0016614	4	aten_0.1.m1.35194.m1	0
"carbon-carbon lyase activity"	GO:0016830	2	aten_0.1.m1.18878.m1	0
"carbon-carbon lyase activity"	GO:0016830	2	aten_0.1.m1.32384.m1	0
"carbon-carbon lyase activity"	GO:0016830	2	aten_0.1.m1.18877.m1	0
"carbon-carbon lyase activity"	GO:0016830	2	aten_0.1.m1.20866.m1	0.079713588
"carbon-carbon lyase activity"	GO:0016830	2	aten_0.1.m1.4856.m1	0
"protein tyrosine kinase activity"	GO:0004713	3	aten_0.1.m1.8857.m1	0
"protein tyrosine kinase activity"	GO:0004713	3	aten_0.1.m1.3459.m1	0
"protein tyrosine kinase activity"	GO:0004713	3	aten_0.1.m1.28807.m1	0
"protein tyrosine kinase activity"	GO:0004713	3	aten_0.1.m1.8151.m1	0
"protein tyrosine kinase activity"	GO:0004713	3	aten_0.1.m1.1268.m1	0
"protein tyrosine kinase activity"	GO:0004713	3	aten_0.1.m1.28778.m1	0
"protein tyrosine kinase activity"	GO:0004713	3	aten_0.1.m1.35526.m1	0
"protein tyrosine kinase activity"	GO:0004713	3	aten_0.1.m1.35404.m1	-0.115636566
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.36905.m1	0.090202561
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.1977.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.12833.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.2874.m1	0.010493163
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.14966.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.13577.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.28036.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.7112.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.35850.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.16091.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.14104.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.14728.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.35194.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.966.m1	-0.037870814
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.3043.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.35851.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.7139.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.28898.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.29399.m1	0
"oxidoreductase activity"	GO:0016491	2	aten_0.1.m1.30089.m1	0.030876293
"protein phosphatase regulator activity"	GO:0004864;GO:0019212;GO:0019888;GO:0019208	4	aten_0.1.m1.10742.m1	0
"protein phosphatase regulator activity"	GO:0004864;GO:0019212;GO:0019888;GO:0019208	4	aten_0.1.m1.14930.m1	0.04480393
"G protein-coupled amine receptor activity"	GO:0008227	4	aten_0.1.m1.6017.m1	-0.197327036
"G protein-coupled amine receptor activity"	GO:0008227	4	aten_0.1.m1.12802.m1	0.016394939
"G protein-coupled amine receptor activity"	GO:0008227	4	aten_0.1.m1.34710.m1	0
"G protein-coupled amine receptor activity"	GO:0008227	4	aten_0.1.m1.12620.m1	0
"G protein-coupled amine receptor activity"	GO:0008227	4	aten_0.1.m1.22683.m1	0.051139232
"protein binding"	GO:0005515	2	aten_0.1.m1.8942.m1	-0.000978447
"protein binding"	GO:0005515	2	aten_0.1.m1.2588.m1	0
"protein binding"	GO:0005515	2	aten_0.1.m1.13159.m1	0
"protein binding"	GO:0005515	2	aten_0.1.m1.27864.m1	0.450223442
"protein binding"	GO:0005515	2	aten_0.1.m1.28117.m1	0
"protein binding"	GO:0005515	2	aten_0.1.m1.36629.m1	0
"protein binding"	GO:0005515	2	aten_0.1.m1.8941.m1	-0.000978447
"protein binding"	GO:0005515	2	aten_0.1.m1.12604.m1	-0.005848016
"protein binding"	GO:0005515	2	aten_0.1.m1.24142.m1	0.508584128
"protein binding"	GO:0005515	2	aten_0.1.m1.28987.m1	0
"protein binding"	GO:0005515	2	aten_0.1.m1.25817.m1	0
"protein binding"	GO:0005515	2	aten_0.1.m1.13406.m1	0
"protein binding"	GO:0005515	2	aten_0.1.m1.1464.m1	0.01785929
"protein binding"	GO:0005515	2	aten_0.1.m1.37917.m1	0
"protein binding"	GO:0005515	2	aten_0.1.m1.6153.m1	0.076828954
"protein binding"	GO:0005515	2	aten_0.1.m1.20041.m1	0
"protein binding"	GO:0005515	2	aten_0.1.m1.5912.m1	0
"protein binding"	GO:0005515	2	aten_0.1.m1.27227.m1	0
